Unnamed,Company,City,Starting Year,Founders,Industries,Description,No. of Employees,Funding Amount in $,Funding Round,No. of Investors
122,Chqbook,Delhi,2017,"Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma","Finance, Financial Services, FinTech","Chqbook is a fintech firm that enables clients to research, compare, book, and purchase personal finance products.",101-250,6000000,3,8
123,Turtlemint,Mumbai,2015,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Financial Services, Health Insurance, Insurance, InsurTech",Turtlemint is an insurtech platform that helps people find and buy the right insurance products.,251-500,77000000,5,10
124,Ecom Express,New Delhi,2012,"K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan","Delivery, E-Commerce, Logistics","Ecom Express is a logistics solutions provider that enables customization, scalability, and the processing of delivery services.",10001+,485392829,6,4
125,BharatPe,New Delhi,2018,"Ashneer Grover, Bhavik Koladiya, Shashvat Nakrani","Apps, Financial Services, FinTech, Payments, QR Codes",BharatPe is a FinTech firm that assists merchants in accepting free payments from customers.,251-500,290345855,7,17
126,Vymo,Bengaluru,2013,"Venkat Malladi, Yamini Bhat","Analytics, Apps, CRM, Mobile, Productivity Tools, SaaS, Sales Automation",Vymo is a personal assistant program that automates sales and service team duties in businesses.,51-100,23000000,5,5
127,Shiprocket,New Delhi,2017,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","E-Commerce, Logistics, Shipping, Supply Chain Management",Shiprocket is an e-commerce shipping platform that allows direct-to-consumer companies to ship at a lower cost.,251-500,53350000,6,12
128,LeadSquared,Bengaluru,2011,Nilesh Patel,"CRM, SaaS, Software",Platform for sales execution and marketing automation that helps companies alter their sales processes.,101-250,35000000,2,3
129,FamPay,Bengaluru,2019,"Kush Taneja, Sambhav Jain","Financial Services, Lifestyle, Payments","FamPay allows parents to send money to their adolescent children via UPI, P2P, and card payments.",51-100,42850000,3,17
130,Quikr,Bengaluru,2008,"Jiby Thomas, Pranay Chulet","Classifieds, E-Commerce, Internet, Marketplace, Rental Property","Quikr is a free classifieds and online marketplace in India that allows users to sell, buy, rent, and discover anything.",1001-5000,424214622,12,15
131,Quizizz,Bengaluru,2015,"Ankit Gupta, Deepak Joy Cheenath","E-Learning, Education, Gamification, Skill Assessment, Software, Training",Quizizz is an educational platform that provides any learner with engaging gamified quizzes and interactive courses.,Nov-50,15504114,3,6
132,Stanza Living,New Delhi,2017,"Anindya Dutta, Sandeep Dalmia","Home Services, Hospitality, Information Technology, Real Estate, Rental Property",Stanza Living is a tech-enabled co-living concept designed for students and working people who are relocating.,251-500,172175325,6,12
133,Pristyn Care,Gurgaon,2018,Harsimarbir (Harsh) Singh,"Health Care, Hospital, Internet",Pristyn Care is a health-care startup that is changing the way elective surgery is performed.,501-1000,81000000,4,5
134,Polygon (Previously Matic Network),Mumbai,2017,Not Available,Blockchain,Matic Network is a scalability platform for blockchains.,Nov-50,450000,3,4
135,Bobble AI,Haryana,2015,"Ankit Prasad, Mohd Wassem, Rahul Prasad","Artificial Intelligence, Machine Learning, Messaging, Natural Language Processing, Text Analytics",Bobble AI is a keyboard discussion media platform that creates customised content for its customers using artificial intelligence.,51-100,13275213,5,3
136,Cell Propulsion,Bengaluru,2016,"Nakul Kukar, Paras Kaushal","Automotive, Electric Vehicle",Cell Propulsion is a fleet electrification firm that develops solutions for large-scale commercial vehicle fleet electrification.,Nov-50,4074000,6,6
137,Dukaan®,Bengaluru,2019,"Kaustub Pandey, Subhash Choudhary, Suumit Shah",DIY,Dukaan is a self-service platform that allows merchants with no programming experience to set up an e-commerce store using their smartphone.,Nov-50,6000000,1,9
138,Play Shifu,Bengaluru,2016,"Dinesh Advani, Vivek Goyal","Augmented Reality, Education, Media and Entertainment, STEM Education, Toys",PlayShifu is an EdTech company that provides teaching and learning tools for kids aged 4 to 12.,51-100,28438340,5,10
139,Lava International Limited,Noida,2009,"Shailendra Nath Rai, Sunil Bhalla, Vishal Sehgal","Consumer Electronics, Mobile, Telecommunications",Lava International Limited adheres to the highest standards of moral and professional ethics.,501-1000,90000000,1,1
140,Vivriti Capital,Chennai,2017,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar","Analytics, Banking, Crowdfunding, Financial Services, FinTech, Insurance, Marketplace",Vivriti Capital is a marketplace for small businesses and individuals that don't have easy access to credit.,101-250,107701572,4,2
141,DocsApp,Bengaluru,2015,"Enbasekar Dinadayalane, Satish Kannan","Health Care, Medical, Mobile Apps, Wellness",DocsApp is an online medical consultation platform that offers advice to patients of all ages in a variety of fields.,1001-5000,27575748,5,11
142,Furlenco,Bengaluru,2012,Ajith Karimpana,"Consumer, Furniture, Home Decor, Home Improvement, Rental, Subscription Service",Furlenco is a monthly furniture rental subscription service that allows users to rent furniture on a monthly basis.,251-500,68955715,16,21
143,Swiggy,Bengaluru,2014,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Delivery Service, E-Commerce Platforms, Restaurants",Swiggy is an on-demand meal delivery service that delivers food from local eateries to clients' doorsteps.,10001+,2428380000,14,23
144,Bombay Shaving Company,New Delhi,2015,"Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande","Consumer Goods, E-Commerce, Lifestyle, Men's","Bombay Shaving Company is a consumer goods company that specializes in the development of shave, beard, and skincare products.",01-Oct,17696569,6,16
145,Treebo Hotels,Bengaluru,2015,"Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta","Hospitality, Hotel, Internet","Treebo is India's first tech-enabled, asset-light, low-cost lodging brand.",501-1000,69174397,9,16
146,Betterhalf,Bengaluru,2016,"Pawan Gupta, Rahul Namdev","Artificial Intelligence, Consumer Applications, Dating","Based on the past data of millions of married couples, Betterhalf develops an AI-based partner prediction engine.",Nov-50,4600000,3,10
147,JioSaavn,Mumbai,2007,"Anjali Naik, Anurag Gupta, Paramdeep Singh, Rishi Malhotra, Vinodh Bhat","Internet, Mobile, Music, Music Streaming, Video Streaming","Saavn is an Indian, Bollywood, and international music streaming service.",101-250,131591747,7,13
148,nearbuy,New Delhi,2011,Ankur Warikoo,"Apps, E-Commerce, Internet, Restaurants, Travel","NearBuy helps you find the finest things to do, purchase, and use in your area.",501-1000,37237275,3,2
149,Indifi Technologies,Gurgaon,2015,"Alok Mittal, Siddharth Mahanot, Sundeep Sahi","Credit, Financial Services, FinTech, Lending",Indifi Technologies is a small company financing provider with a digital lending platform.,101-250,35826551,5,15
150,Portea Medical,Bengaluru,2013,"Ganesh Krishnan, Karan Aneja, Manjusha Anumolu, Meena Ganesh, Zachary Jones","Health Care, Home Health Care, Hospital, Medical","With a 24-city network, Portea Medical is India's largest and fastest-growing provider of in-home medical services.",1001-5000,76066894,6,10
151,Stashfin,New Delhi,2016,Tushar Aggarwal,"Apps, Banking, Finance, Financial Services, FinTech",StashFin is a digital lending startup that uses technology to make credit decisions in real time.,51-100,75000000,3,14
152,Square Yards,Gurgaon,2014,"Kanika Gupta, Tanuj Shori","Market Research, Real Estate","Square Yards is India's largest real estate platform, with over 20 cities and 9 countries represented.",5001-10000,73000000,6,11
153,HealthifyMe,Bengaluru,2012,"Mathew Cherian, Sachin Shenoy, Tushar Vashisht","Apps, Fitness, Health Care, mHealth",HealthifyMe is a computer and smartphone application that allows users to reach their fitness and weight loss goals.,101-250,25000000,7,17
154,QuickSell,Mumbai,2017,Deepak Bhagchandani,Software,Platform for B2B Mobile Commerce,Nov-50,2225000,2,6
155,Perpule,Bengaluru,2016,"Abhinav Pathak, Saketh BSV, Yogesh Ghaturle","Apps, Billing, Enterprise Software, Mobile Payments, Point of Sale, Retail Technology, SaaS, Shopping, Software","UltraPOS by Perpule is a cloud-based, mobile POS solution that significantly enhances your store's billing and checkout processes.",101-250,6361203,3,5
156,ReNew Power,Gurgaon,2011,Sumant Sinha,"Clean Energy, Energy, Renewable Energy, Solar, Wind Energy",ReNew Power is an Indian wind energy company.,101-250,2776179257,12,9
157,Hike,New Delhi,2012,Kavin Bharti Mittal,"Apps, Messaging, Mobile, Online Portals, Social Network",Hike is a company that creates and develops mobile messaging apps.,251-500,261000000,5,10
158,Mswipe Technologies,Mumbai,2011,Manish Patel,"Financial Services, Payments","POS, Mobile POS, mPOS, Card Payment, Payment Solutions, mQR, QR code, Digital Payments, Card Swiping Machine, NFC Payment, mQR, QR code, mQR, QR code, Digital Payments, Card Swiping Machine",5001-10000,97467607,9,14
159,Virohan,Gurgaon,2018,"Archit Jayasal, Kunaal Dudeja, Nalin Saluja, Paarul Dudeja","Continuing Education, Corporate Training, EdTech, Health Care, Higher Education, Vocational Education",Virohan is an EdTech startup that provides students with healthcare vocational training so that they can pursue a career in the field.,101-250,3450000,6,9
160,BimaPe,Mumbai,2020,Rahul Mathur,"Consumer Applications, FinTech, InsurTech","For individuals and families across India, BimaPe demystifies insurance and its management. 'BimaPe Bharosa Karo' means 'BimaPe Bharosa Karo.'",01-Oct,545000,2,5
161,Netmeds,Chennai,2010,Pradeep Dadha,"E-Commerce, Health Care, Pharmaceutical",Welcome to the most convenient drugstore in India!,501-1000,99000000,3,4
162,XYXX Apparels,Surat,2017,Yogesh Kabra,"Gaming, Sports","XYXX Apparels, which owns the XYXX innerwear line.",51-100,4923799,3,3
163,One97,Noida,2000,Vijay Shekhar Sharma,"Finance, FinTech, Internet, Mobile Advertising, Mobile Payments, Software",One97 provides its customers with mobile content and commerce services.,1001-5000,4432652051,13,15
164,Airmeet,Bengaluru,2019,"Lalit Mangal, Manoj Singh, Vinay Kumar Jasti","Events, Social, Software, Video Conferencing","Airmeet is an all-in-one event platform that features virtual social lounges for networking and virtual summits, meetups, and courses.",51-100,15000000,4,20
165,BookMyShow,Mumbai,1999,"Ashish Hemrajani, Parikshit Dar, Rajesh Balpande","Digital Entertainment, E-Commerce, Event Management, Events, Internet, Media and Entertainment, Online Auctions, Social Media, Sports","BookMyShow is an online ticketing service for movies, theaters, and sporting events in India.",501-1000,224500000,6,6
166,Embibe,Mumbai,2012,Aditi Avasthi,"Content Creators, Digital Marketing, EdTech, Education, Tutoring",Embibe gives students with tailored educational input.,101-250,196656376,4,4
167,Awign Enterprises,Bengaluru,2016,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Business Development, E-Commerce, EdTech, Hospitality, Information Technology, Last Mile Transportation, Marketing, Outsourcing",Awign is a work fulfillment platform that focuses on the gig economy and offers last-mile delivery.,251-500,5463025,5,11
168,ixigo,Gurgaon,2006,"Aloke Bajpai, Dharmendra Yashovardhan, Rajnish Kumar","Mobile, Mobile Apps, Tourism, Travel",ixigo.com is an online travel site in India that makes all of your vacations easier.,101-250,35500000,5,6
169,Shuttl,Gurgaon,2015,"Amit Singh, Deepanshu Malviya","Apps, Mobile, Software, Transportation","Shuttl is an app-based shuttle service that makes everyone's everyday commute safer, more reliable, and more economical.",251-500,122313023,13,22
170,Chai Point,Bengaluru,2010,"Amuleek Singh Bijral, Gaganjot Kaur","Food and Beverage, Food Processing, Restaurants, Snack Food, Tea",Chai Point is a multi-channel beverage company that offers a precisely brewed cup of chai.,1001-5000,46221395,9,6
171,Avail Finance,Bengaluru,2017,"Ankush Aggarwal, Tushar Mehndiratta","Finance, FinTech, Mobile Payments",Avail is a digital app that provides loans to India's blue-collar population with flexible repayment choices.,51-100,41443027,5,8
172,Flock,Mumbai,2014,Bhavin Turakhia,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Flock is a real-time messaging and collaboration app for teams that improves productivity by speeding up and simplifying communication.,101-250,45000000,3,2
173,GlowRoad,Bengaluru,2017,"Kunal Sinha, Nilesh Padariya, Nitesh Pant, Shekhar Sahu, Sonal Verma","E-Commerce, Retail, Social Shopping","GlowRoad is the largest reseller network in the world, with over 200,000 resellers selling in over 1000 cities and earning money online.",51-100,31300000,4,7
174,HomeLane,Bengaluru,2014,"Rama Harinath, Srikanth Iyer, Tanuj Choudhry, Vivek Parasuram","Home Decor, Home Improvement, Interior Design, Internet",HomeLane is a home interior design firm that assists buyers in creating unique interiors for their homes.,501-1000,63359735,9,12
175,Wow! Momo,Kolkata,2008,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman","Food and Beverage, Food Delivery, Food Processing",Wow! Momo is a fast-food restaurant chain known for its momos.,251-500,37996690,5,6
176,LetsTransport,Bengaluru,2015,"Ankit Parasher, Pushkar Singh, Sudarshan Ravi","Logistics, Transportation, Travel",Lets Transport is a logistics company that offers a variety of services.,Nov-50,24628092,8,12
177,Digital Class E-Learning Marketplace,Ahmedabad,2017,"Hitesh Mohkar, Tushar Dhakate","B2B, B2C, E-Learning, EdTech, Marketplace",Sellers and consumers of online courses can meet on this educational marketplace.,Nov-50,42000,1,0
178,RentoMojo,Bengaluru,2014,"Achal Mittal, Ajay Nain, Geetansh Bamania","E-Commerce, Furniture, Internet, Rental","RentoMojo is an online rental marketplace that offers monthly rentals of furniture, appliances, and gadgets (mobile phones, laptops).",501-1000,51443326,14,19
179,SBI Life,Mumbai,2001,Not Available,"Financial Services, Health Care, Insurance",SBI Life is a life insurance company that provides a variety of plans and policies to safeguard you and your loved ones.,10001+,742000000,1,2
180,Zivame.com,Bengaluru,2011,"Kapil Karekar, Richa Kar","E-Commerce, Fashion, Internet, Lingerie","Zivame is an online lingerie store based in India that allows users to shop by category, brand, color, and size.",251-500,69002120,8,11
181,VerSe Innovation,Bengaluru,2007,"Umang Bedi, Virendra Gupta","Content, Internet, Social Media",VerSe Innovation is a platform for local language technology.,501-1000,434009213,20,22
182,CoinDCX,Mumbai,2017,"Neeraj Khandelwal, Sumit Gupta","Blockchain, Cryptocurrency, Financial Services, FinTech, Trading Platform",CoinDCX is a cryptocurrency-enabled financial services provider.,Nov-50,5500000,3,10
183,Country Delight,Sohna,2015,"Chakradhar Gade, Nitin Kaushal","Agriculture, Delivery Service, Food and Beverage, Food Delivery","Country Delight makes and distributes milk with the goal of delivering high-quality, pure milk to your home.",501-1000,44247827,9,6
184,BankBazaar.com,Chennai,2008,"Adhil Shetty, Arjun Shetty, Rati Shetty","E-Commerce, Finance, FinTech, Insurance, Marketplace",BankBazaar.com is an independent online marketplace that provides immediate customized loan and insurance rate quotations.,1001-5000,115000000,6,16
185,Happay,Whitefield,2012,"Anshul Rai, Varun Rathi","Financial Services, FinTech, SaaS, Software",Happay is an artificial intelligence-powered business expenditure management software that helps companies automate their cost management processes.,251-500,21556985,7,8
186,Five Star Business Finance,Kilpauk,1984,V K Ranganathan,"Banking, Finance, Financial Services, Personal Finance",Five-Star is a Reserve Bank of India-registered non-banking finance company (NBFC) (RBI).,1001-5000,456059601,7,8
187,Goodera,Bengaluru,2014,"Abhishek Humbad, Richa Bajpai","Computer, Events, Software, Sustainability",Goodera is a technological platform that assists businesses in managing their corporate social responsibility (CSR) programs.,101-250,17612830,3,6
188,Simpl,Bengaluru,2015,"Chaitra Chidanand, Nityanand Sharma","E-Commerce, Financial Services, Lending, Payments","In India, Simpl is the most popular Pay-Later platform.",101-250,26700000,3,5
189,F5 Refreshement,New Delhi,2018,"Lalit Aggarwal, Raghav Arora",Food and Beverage,F5 Refreshment is a company that produces snacks and beverages.,51-100,621291,2,6
190,ShopClues,Gurgaon,2011,"Radhika Aggarwal, Sandeep Aggarwal, Sanjay Sethi","E-Commerce, Internet, Marketplace, Shopping",Shop Clues is a platform that allows buyers and sellers to communicate in a controlled environment.,1001-5000,257002291,11,12
191,Aknamed,Bengaluru,2018,"Saurabh Pandey, Varun Vohra","Health Care, Hospital, Supply Chain Management","In India, Aknamed is optimizing the healthcare supply chain.",51-100,7000000,1,1
192,Droom,Haryana,2014,Sandeep Aggarwal,"Automotive, B2B, E-Commerce, E-Commerce Platforms, Internet, Marketplace, News",Droom is an online vehicle marketplace that is powered by technology and data science.,251-500,133000000,7,10
193,Box8,Mumbai,2012,"Amit Raj, Anshul Gupta","Delivery, E-Commerce, Food and Beverage, Food Delivery",BOX8 is a meal-delivery service that delivers meals in a handy and easy-to-carry box.,1001-5000,32668662,9,10
194,Cashkaro,Gurgaon,2013,"Rohan Bhargava, Swati Bhargava","Coupons, Customer Service, E-Commerce, Internet, Retail",Customers who shop at online stores through Cashkaro are rewarded with coupons and rebates.,51-100,14550000,4,3
195,CropIn,Bengaluru,2010,Krishna Kumar,"Analytics, Artificial Intelligence, Farming, Forestry, Information and Communications Technology (ICT), Machine Learning, Predictive Analytics, SaaS, Satellite Communication, Software",CropIn is a leading AI and data-driven agri-tech company that uses deep learning to give SaaS solutions to agribusinesses throughout the world.,101-250,32599576,10,12
196,Jupiter,Mumbai,2019,Jitendra Gupta,"Banking, Consulting, Financial Services, Wealth Management",Jupiter is a digital retail banking solution that helps consumers keep track of their spending.,Nov-50,26000000,2,7
197,ShopX,Bengaluru,2015,"Amit Sharma, Apoorva Jois","B2B, E-Commerce, Internet","Brands, merchants, and consumers are all connected through ShopX, a retail operating system.",101-250,56417592,4,5
198,LocoNav,Azadpur,2015,"Shridhar Gupta, Vidit Jain","Computer, Software, Software Engineering",LocoNav is an online fleet management software supplier that offers a single platform for running and managing fleet operations.,101-250,7420000,3,3
199,Avataar.Me,Bengaluru,2016,"Gaurav Baid, Mayank Tiwari, Prashanth Aluru, Sravanth Aluru","3D Technology, Augmented Reality, E-Commerce, Fashion, Mobile Apps, Software, Virtual Reality",Avataar.Me is a high-tech provider of AR and VR services that are utilized to turn 2D design materials into 3D social media campaigns.,51-100,7000000,1,1
200,BluSmart Mobility,Ahmedabad,2019,"Anmol Jaggi, Punit Goyal","Electric Vehicle, Mobile Apps, Ride Sharing",BluSmart is an electric vehicle fast charging network and a zero-emission ridehailing service.,51-100,17062939,5,20
201,SleepyCat,Mumbai,2017,Kabir Siddiq,E-Commerce,SleepyCat is a mattress and sleep-solutions firm that sells directly to consumers online.,01-Oct,1320000,1,3
202,INDwealth,Gurgaon,2018,"Abhay Girnara, Amit Jain, Amrita Sirohia, Ashish Kashyap, Monika Dua, Pratiksha Dake","Artificial Intelligence, Financial Services, FinTech, Machine Learning, Personal Finance, Wealth Management",INDwealth is a wealth management platform for HNI families that uses Artificial Intelligence and Machine Learning.,101-250,56891230,3,4
203,Shipsy,Gurgaon,2015,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","Big Data, Internet of Things, Logistics, Machine Learning, Software, Supply Chain Management","Shipsy's platform provides data-driven decision-making in the Supply Chain business, improving visibility and operational efficiency.",101-250,7697983,4,8
204,Kissht,Mumbai,2015,"Karan Mehta, Krishnan Vishwanathan","Credit, Finance, Financial Services, FinTech, Lending, Sales Automation","Kissht is a financial technology platform that allows users to get fast, hassle-free credit for purchases made at digital points of sale.",251-500,49247312,6,8
205,MedGenome,Bengaluru,2013,"Mahesh Pratapneni, Sam Santhosh","Biotechnology, Genetics, Health Care, Health Diagnostics, Medical","MedGenome is a biotechnology firm that offers a comprehensive tracking, analysis, and data reporting system.",251-500,119000000,6,12
206,Fabhotels,Gurgaon,2015,"Adarsh Manpuria, Vaibhav Aggarwal","E-Commerce, Hospitality, Hotel, Travel Accommodations",Fabhotels is an online hotel room aggregator. Its goal is to provide standardized services at a low cost.,51-100,48598636,7,9
207,Loadshare,Bengaluru,2017,"Pramod Nair, Raghuram Talluri, Rakib Ahmed, Tanmoy Karmakar","Delivery Service, Industrial Automation, Logistics, Software, Supply Chain Management","Loadshare Network focuses on first-mile, line-haul, and last-mile delivery services via its logistical software solutions.",Nov-50,21262496,7,9
208,Gradeup,Noida,2015,"Sanjeev Kumar, Shobhit Bhatnagar, Vibhu Bhushan","Education, Mobile, Online Portals",India's largest and most effective competitive test preparation site.,501-1000,10020000,5,2
209,FreeCharge,Mumbai,2010,"Kunal Shah, Sandeep Tandon","Coupons, E-Commerce, Internet, Payments",FreeCharge is a service that provides coupons for consumers to utilize when topping up their mobile subscriptions.,251-500,177639874,7,7
210,Healthkart,Gurgaon,2011,Sameer Maheshwari,"Dietary Supplements, E-Commerce, Fitness, Health Care, Retail, Wellness","Consumers may reach their fitness objectives with the support of HealthKart's fitness products, services, and community.",251-500,61000000,4,8
211,Saveo,Bengaluru,2019,Not Available,"Fitness, Health Care, Wellness",Saveo is a pharmacy-focused business-to-business e-commerce platform.,101-250,3720000,2,24
212,True Balance,Gurgaon,2014,"Cheolwon Lee, Jay Yi, Martin Lee","Apps, Financial Services, FinTech, Insurance, Mobile Payments, Personal Finance",True Balance is a digital wallet that allows users to pay bills and access other financial services.,51-100,99640920,7,17
213,Coverfox Insurance,Mumbai,2013,"Devendra Rane, Varun Dua","Auto Insurance, Health Insurance, Insurance, InsurTech, Life Insurance, Travel",Coverfox Insurance is an insurtech company that offers simple online insurance brokerage services.,501-1000,51250370,6,13
214,EarlySalary,Pune,2015,Akshay Mehrotra,"Financial Services, FinTech, Personal Finance",EarlySalary.com is a Pune-based FinTech startup. We're here to save you from going bankrupt.,101-250,33267529,7,6
215,Pitstop,Bengaluru,2015,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Automotive, Service Industry",Pitstop's doorstep service provides general automotive repair and maintenance services.,101-250,9702517,5,12
216,Wheels Eye,Gurgaon,2017,"Anshul Mimani, Manish Somani","Information Services, Information Technology",WheelsEye is a logistics-tech firm that has received funding.,1001-5000,840000,1,1
217,Bira 91,New Delhi,2015,Ankur Jain,"Brewing, Craft Beer, Food and Beverage, Wine And Spirits",Bira 91 is a craft beer company established in India that develops and manufactures a variety of craft beers.,251-500,160465015,14,13
218,PlanetSpark,Gurgaon,2016,"Kunal Malik, Maneesh Dhooper","E-Learning, EdTech, Education",PlanetSpark is an after-school math and English program for children in grades two through seven.,01-Oct,576000,2,4
219,LimeRoad,Gurgaon,2012,"Ankush Mehra, Manish Saksena, Prashant Malik, Suchi Mukherjee","E-Commerce, Fashion, Internet, Shopping","A fun and exciting way to discover beautiful items, share them, and shop for them.",251-500,51944731,5,6
220,Pratilipi,Bengaluru,2015,"Prashant Gupta, Rahul Ranjan, Ranjeet Pratap Singh, Sahradayi Modi, Sankaranarayanan Devarajan","Audio, Comics, Digital Media, EBooks, Podcast, Publishing, Reading Apps","Pratilipi is a platform for language storytelling that connects readers, writers, and their stories.",51-100,29833055,5,12
221,Freight Tiger,Mumbai,2014,Swapnil Shah,"Automotive, Logistics, Transportation","Freight Transactions that are simple, efficient, and transparent.",Nov-50,6600000,1,3
222,unlu,Gurgaon,2020,"Akshay Pruthi, Anurag Dalia, Himanshu Periwal, Vipul Agrawal","Celebrity, Internet, Media and Entertainment, Social Media",unlu is a celebrity interaction platform that enables consumers and brands to receive endorsements from well-known figures.,Nov-50,1284058,2,4
223,KIMS Hospitals,Hyderabad,2000,Bhaskar Rao,"Health Care, Hospital, Medical","KIMS Hospitals is a multidisciplinary, integrated private healthcare services provider with a multispecialty hospital network.",Nov-50,139178803,3,3
224,InterviewBit,Bengaluru,2015,"Abhimanyu Saxena, Anshuman Singh","E-Learning, Employment, Information Technology, Internet, Recruiting, Software",Young software workers can use an e-learning platform to advance their careers.,101-250,21500000,2,4
225,Oye Rickshaw,Gurgaon,2017,"Akash Deep, Mohit Sharma","Electric Vehicle, Last Mile Transportation, Public Transportation, Transportation",Oye Rickshaw is an electric vehicle energy solutions startup that uses a booking app to link customers with public transportation.,251-500,13275120,3,10
226,Arzooo.com,Bengaluru,2018,"Khushnud Khan, Rishi Raj Rathore","Consumer Electronics, Electronics, Retail, Retail Technology, Shopping","With its main ""Go Store"" product, India's leading retail digital platform in the consumer durables market has transformed 300,000+ SMEs.",251-500,14800000,6,11
227,Amber Group,Gurgaon,1990,Kartar Singh,"Consumer Electronics, Electronics, Home Services, Industrial Manufacturing, Machinery Manufacturing, Manufacturing",Amber Group is an Indian air conditioner and component manufacturer.,51-100,21445200,1,9
228,Star Health and Allied Insurance,Nungambakkam,2006,Not Available,"Health Care, Health Insurance, Insurance","Medical Insurance, Accident Insurance, and Travel Insurance Plans are all available from Star Health and Allied Insurance.",1001-5000,173773498,3,6
229,Magicbricks,Noida,2006,Times Internet,"Commercial Real Estate, Online Portals, Real Estate",Magicbricks is India's most popular real estate website.,1001-5000,3600000,1,1
230,Unbxd,Bengaluru,2011,"Pavan Sondur, Prashant Kumar","Artificial Intelligence, Big Data, E-Commerce, Machine Learning, Navigation, Product Search, Search Engine, Software",Unbxd is an e-commerce product discovery tool that matches customers with the products they are most likely to purchase.,101-250,14500000,7,13
231,LIDO,Mumbai,2019,Sahil Sheth,"E-Learning, EdTech, Education, Software",LIDO is an ed-tech startup that uses an immersive online platform to revolutionize education.,501-1000,10500000,2,8
232,Yulu,Bengaluru,2017,"Amit Gupta, Hemant Gupta, Naveen Dachuri, RK Misra","Electric Vehicle, Ride Sharing, Sharing Economy, Transportation",Yulu is a micro-mobility platform in India that uses shared electric two-wheelers to alleviate traffic congestion and pollution.,101-250,19900000,4,7
233,Cashify,Gurgaon,2015,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Consumer, Consumer Electronics, E-Commerce, Marketplace",Cashify is an online marketplace where you can resell your secondhand electronics.,501-1000,28000000,5,9
234,Revv,Gurgaon,2015,"Anupam Agarwal, Karan Jain","Apps, Automotive, Rental",Revv is an Indian car-rental company with a variety of alternatives to fulfill all of your self-drive requirements.,101-250,23300000,3,10
235,UrbanPiper,Bengaluru,2015,"Anirban Majumdar, Devarshi Shah, Saurabh Gupta","Food and Beverage, Information Services, Information Technology, Software",The most important platform for restaurants to run their online operations.,101-250,10180783,3,4
236,PropTiger,Gurgaon,2011,"Dhruv Agarwala, Kartik Varma, Prashan Agarwal","Intellectual Property, Marketing, Real Estate",PropTiger is a pan-India-based independent real estate advisor. We have extensive real estate experience and understanding in India.,501-1000,85000000,2,3
237,Miko,Mumbai,2015,"Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Artificial Intelligence, Consumer Electronics, EdTech, Hardware, Internet of Things, Machine Learning, Robotics","Miko is a robotics, AI, and Internet of Things (IoT) firm.",101-250,21540065,5,9
238,HungerBox,Bengaluru,2015,"Sandipan Mitra, Uttam Kumar","B2B, Food and Beverage, Food Delivery",HungerBox is a full-stack B2B food and beverage technology firm that specializes in corporate food solutions.,251-500,44580231,8,10
239,OYO,Gurgaon,2012,Ritesh Agarwal,"Hospitality, Hotel, Leisure, Reservations, Travel",OYO is a hotel chain with a branded network of hotels that provide uniform guest experiences.,10001+,3439351106,17,23
240,Leap Finance,Bengaluru,2019,"Arnav Kumar, Vaibhav Singh","Credit Cards, Education, Financial Services, FinTech, Lending",Leap Finance is a fintech business that provides Indian students studying abroad with education loans and credit cards.,01-Oct,22500000,2,5
241,MedPlus,Hyderabad,2006,Madhukar Gangadi,"E-Commerce, Health Care, Pharmaceutical, Wellness",MedPlus is a South Indian pharmacy business.,10001+,317695079,7,6
242,PiggyRide,Bengaluru,2019,"Manish Tewari, Rohan Kaushal","Children, Education, Information Services, Information Technology, Transportation","PiggyRide is an online class, event, and course provider. Music, dance, activity, and summer camp are all available.",Nov-50,1320000,2,8
243,Vernacular.ai,Bengaluru,2016,"Akshay Deshraj, Manoj Sarda, Sourabh Gupta","Artificial Intelligence, Call Center, Customer Service, Internet, Internet of Things, Machine Learning, Natural Language Processing, SaaS, Software, Speech Recognition","By automating call center queries, we assist businesses in improving customer experience through intelligent voice chats.",51-100,5100000,4,7
244,ShareChat,Bengaluru,2015,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","Internet, Mobile Apps, Social Media, Social Network",ShareChat is a platform for social networking and regional content.,501-1000,824830000,10,17
245,PhableCare,Bengaluru,2017,"Mukesh Bansal, Prasanth Reddy, Sumit Sinha","Health Care, Internet, Mobile Apps, Personal Health",Patients and doctors can use a mobile app to communicate with each other.,51-100,13670000,5,13
